Title,Genre,Original Network,Premiere,Seasons,Length,Netflix Exclusive Regions,Status
Stranger Things,Science fiction,Netflix,"July 15, 2016
","4 seasons, 34 episodes",42–150 min,Worldwide,Renewed for final season
The Crown,Historical drama,Netflix,"November 4, 2016
","5 seasons, 50 episodes",47–61 min,Worldwide,Renewed for final season
The Umbrella Academy,Superhero,Netflix,"February 15, 2019
","3 seasons, 30 episodes",40–60 min,Worldwide,Renewed for final season
Virgin River,Romantic drama,Netflix,"December 6, 2019
","4 seasons, 42 episodes",39–49 min,Worldwide,Renewed
The Witcher,Fantasy,Netflix,"December 20, 2019
","2 seasons, 16 episodes",47–67 min,Worldwide,Season 3 due to premiere in 2023
Outer Banks,Coming-of-age,Netflix,"April 15, 2020
","2 seasons, 20 episodes",42–61 min,Worldwide,Season 3 due to premiere in 2023
Sweet Magnolias,Romantic drama,Netflix,"May 19, 2020
","2 seasons, 20 episodes",43–54 min,Worldwide,Renewed
Blood & Water,Teen drama,Netflix,"May 20, 2020
","2 seasons, 13 episodes",43–53 min,Worldwide,"Season 3 due to premiere on November 25, 2022"
Warrior Nun,Fantasy,Netflix,"July 2, 2020
","2 seasons, 18 episodes",36–52 min,Worldwide,"Pending
"
Ratched,Psychological thriller,Netflix,"September 18, 2020
","1 season, 8 episodes",45–62 min,Worldwide,Renewed
Bridgerton,Historical,Netflix,"December 25, 2020
","2 seasons, 16 episodes",53–72 min,Worldwide,Renewed for seasons 3–4
Firefly Lane,Drama,Netflix,"February 3, 2021
","1 season, 10 episodes",47–53 min,Worldwide,"First part of final season due to premiere on December 2, 2022"
Ginny & Georgia,Coming-of-age,Netflix,"February 24, 2021
","1 season, 10 episodes",52–58 min,Worldwide,Renewed
Shadow and Bone,Fantasy drama,Netflix,"April 23, 2021
","1 season, 8 episodes",45–58 min,Worldwide,Season 2 due to premiere in 2023
Sweet Tooth,Fantasy drama,Netflix,"June 4, 2021
","1 season, 8 episodes",37–53 min,Worldwide,Renewed
Sex/Life,Drama,Netflix,"June 25, 2021
","1 season, 8 episodes",43–52 min,Worldwide,Renewed
